N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2012 г.,12422/82468,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) узлов: 288 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 24 GB RAM) узлов: 4 (4xXeon E7650 2.26 GHz 512 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,901.90 1700.21,Т-Платформы
2,Москва Поставщик ИТ-услуг 2014 г.,300/8250,узлов: 150 (2xXeon E5-2660 [Acc: 3x Kepler K20] 2.2 GHz 64 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,408.98 568.74,Hewlett-Packard
3,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2012 г.,416/28704,узлов: 208 (2xXeon E5-2690 [Acc: 2x Xeon Phi 7110X] 2.9 GHz 80 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Fast Ethernet,375.70 523.83,Группа компаний РСК
4,Москва Московский государственный университет имени М.В.Ломоносова 2014 г.,256/6400,узлов: 256 (Xeon E5-2680v2 [Acc: Tesla K40M] 2.8 GHz 32.768 GB RAM) сеть: Infiniband FDR/2xGigabit Ethernet/Gigabit Ethernet,319.80 423.40,Т-Платформы
5,Челябинск Южно-Уральский государственный университет 2013 г.,768/28032,узлов: 384 (2xXeon X5680 [Acc: Xeon Phi SE10X] 3.33 GHz 24.576 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,288.20 473.64,Группа компаний РСК
6,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2013 г.,320/29840,узлов: 100 (2xXeon E5-2660 [Acc: 3x Kepler K20X] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 3x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 50 (2xXeon E5-2660 [Acc: 2x Fermi 2090] 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,282.60 521.00,"Ниагара Компьютерс, Supermicro"
7,не указан IT Services Provider 2012 г.,2254/18032,узлы: (Xeon E5-2660 2.2 GHz) сеть: Gigabit Ethernet,160.90 317.40,Hewlett-Packard
8,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2009 г.,2370/13004,узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) узлов: 19 (2xXeon X5675 [Acc: 8x Tesla M2090] 3 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,119.93 227.84,Hewlett-Packard
9,Екатеринбург Вычислительный центр ИММ УрО РАН 2008 г.,92/6184,узлов: 20 (2xXeon X5675 [Acc: 8x Tesla M2050] 3.06 GHz 49.152 GB RAM) узлов: 10 (2xXeon X5675 [Acc: 8x Tesla M2090] 3.06 GHz 196.608 GB RAM) узлов: 16 (2xXeon E5-2660 [Acc: 8x Tesla M2090] 2.2 GHz 98.304 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,109.88 225.85,"Hewlett Packard, Открытые технологии"
10,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
11,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,Группа компаний РСК
12,не указан IT Services Provider 2012 г.,956/7648,узлы: (Xeon E5-2670 2.6 GHz) сеть: Gigabit Ethernet,83.81 159.08,Hewlett-Packard
13,Долгопрудный Лаборатория iScalare Московский физико-технический институт государственный университет 2012 г.,448/3584,узлов: 224 (2xXeon E5-2690 2.9 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet,70.12 83.15,Группа компаний РСК
14,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
15,Санкт-Петербург Институт прикладной астрономии РАН 2014 г.,80/1680,узлов: 32 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) узлов: 8 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,65.53 106.91,Т-Платформы
16,Москва Поставщик ИТ-услуг 2014 г.,120/3480,узлов: 60 (2xXeon E5-2660 [Acc: 3x Tesla M2070Q] 2.2 GHz 64 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,60.64 109.60,Hewlett-Packard
17,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
18,Москва Поставщик ИТ-услуг 2014 г.,60/2400,узлов: 30 (2xXeon E5-2660 [Acc: 4x Tesla M2090] 2.2 GHz 64 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,52.78 88.25,Hewlett-Packard
19,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
