,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,ТГУ,2007,42,33,69,110,15
1,МФТИ,2007,58,31,70,87,38
2,ННГУ,2007,49,35,115,151,28
3,ЛИТ ОИЯИ,2007,378,208,210,314,195
4,СПбГПУ,2007,72,42,150,212,41
5,ТПУ,2007,32,25,35,80,17
6,ИСП РАН,2007,0,0,7,16,0
7,МГУ,2007,911,685,1194,1850,448
8,НИИ БМХ РАМН,2007,10,16,35,27,3
9,КРСУ,2007,3,1,5,3,2
10,СВФУ,2007,2,2,1,3,1
11,ИГЭУ,2007,1,4,14,24,1
12,ЮУрГУ,2007,6,9,15,38,0
