,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ВятГУ,2013,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,170457.6,1
1,ИВМиМГ СО РАН,2013,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,601045.0,1
2,ИДСТУ СО РАН,2013,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,332700.5,1
3,ИММ УРО РАН,2013,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,363261.5,1
4,ИПМ им. М.В.Келдыша РАН,2013,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,980986.6,1
5,Курчатовский институт,2013,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,2942959.8,1
6,МГУ,2013,15720.0,95660.0,6832.0,97848.288,22.5,973.08,1788.06,2942959.8,1
7,МФТИ,2013,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,359047.3,1
8,НГУ,2013,524.0,2512.0,258.0,7107.376,10.0,17.32,27.52,300522.5,1
9,ННГУ,2013,120.0,3040.0,60.0,3932.1600000000003,10.0,51.86,103.31,281581.1,1
10,ПГНИУ,2013,16.0,752.0,8.0,512.0,56.25,13.53,21.48,334027.2,1
11,СВФУ,2013,320.0,1920.0,160.0,7864.32,10.0,20.21,23.5,597037.4,1
12,СПбГУ,2013,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,490440.5,1
13,ТГУ,2013,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,377218.0,1
14,УГАТУ,2013,550.0,2268.0,275.0,4046.848,2.5,15.33,23.67,286131.7,1
15,ФГУП ЦНИИ Крылова,2013,200.0,2400.0,100.0,6553.6,10.0,17.38,21.12,490440.5,1
16,ЮУрГУ,2013,1856.0,22848.0,192.0,6144.0,70.0,247.15,354.46,505977.6,1
17,ЮФУ,2013,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,215923.2,1
