,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
144,ВятГУ,2012,Cpu: 6,Cores: 9,Nodes: 5,Memory: 10,Nets: 6,Linpack: 10,Peak: 10,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 9,Top10: 10
145,ИВМиМГ СО РАН,2012,Cpu: 3,Cores: 3,Nodes: 3,Memory: 2,Nets: 5,Linpack: 3,Peak: 3,GRPperCapita: 8,Num of Systems: 4,Q1: 9,Q2: 10,Q3: 9,Q4: 9,Top10: 9
146,ИДСТУ СО РАН,2012,Cpu: 9,Cores: 4,Nodes: 9,Memory: 5,Nets: 9,Linpack: 7,Peak: 8,GRPperCapita: 6,Num of Systems: 10,Q1: 8,Q2: 9,Q3: 10,Q4: 10,Top10: 8
147,ИПМ им. М.В.Келдыша РАН,2012,Cpu: 9,Cores: 5,Nodes: 9,Memory: 6,Nets: 3,Linpack: 5,Peak: 3,GRPperCapita: 2,Num of Systems: 9,Q1: 7,Q2: 8,Q3: 7,Q4: 8,Top10: 7
148,Курчатовский институт,2012,Cpu: 1,Cores: 1,Nodes: 2,Memory: 5,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 3,Q2: 3,Q3: 3,Q4: 5,Top10: 3
149,МГУ,2012,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
150,МФТИ,2012,Cpu: 8,Cores: 10,Nodes: 8,Memory: 4,Nets: 9,Linpack: 5,Peak: 7,GRPperCapita: 5,Num of Systems: 9,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3
151,НГУ,2012,Cpu: 4,Cores: 5,Nodes: 3,Memory: 3,Nets: 5,Linpack: 7,Peak: 5,GRPperCapita: 7,Num of Systems: 3,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 1
152,ННГУ,2012,Cpu: 10,Cores: 6,Nodes: 10,Memory: 7,Nets: 8,Linpack: 3,Peak: 4,GRPperCapita: 9,Num of Systems: 8,Q1: 5,Q2: 4,Q3: 4,Q4: 3,Top10: 5
153,СВФУ,2012,Cpu: 7,Cores: 7,Nodes: 6,Memory: 3,Nets: 4,Linpack: 6,Peak: 6,GRPperCapita: 3,Num of Systems: 3,Q1: 10,Q2: 9,Q3: 9,Q4: 10,Top10: 9
154,СПбГУ,2012,Cpu: 10,Cores: 10,Nodes: 10,Memory: 8,Nets: 7,Linpack: 8,Peak: 7,GRPperCapita: 3,Num of Systems: 7,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
155,СФУ,2012,Cpu: 7,Cores: 9,Nodes: 5,Memory: 10,Nets: 10,Linpack: 10,Peak: 10,GRPperCapita: 4,Num of Systems: 7,Q1: 6,Q2: 6,Q3: 5,Q4: 6,Top10: 6
156,ТГУ,2012,Cpu: 3,Cores: 3,Nodes: 1,Memory: 1,Nets: 7,Linpack: 4,Peak: 5,GRPperCapita: 5,Num of Systems: 6,Q1: 4,Q2: 5,Q3: 6,Q4: 5,Top10: 4
157,УГАТУ,2012,Cpu: 5,Cores: 7,Nodes: 4,Memory: 9,Nets: 10,Linpack: 9,Peak: 9,GRPperCapita: 7,Num of Systems: 5,Q1: 7,Q2: 7,Q3: 7,Q4: 7,Top10: 7
158,ЮУрГУ,2012,Cpu: 2,Cores: 2,Nodes: 7,Memory: 9,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 9,Num of Systems: 2,Q1: 9,Q2: 7,Q3: 8,Q4: 7,Top10: 10
159,ЮФУ,2012,Cpu: 5,Cores: 8,Nodes: 7,Memory: 7,Nets: 3,Linpack: 9,Peak: 9,GRPperCapita: 10,Num of Systems: 5,Q1: 5,Q2: 5,Q3: 5,Q4: 3,Top10: 5
160,ВятГУ,2013,Cpu: 6,Cores: 9,Nodes: 4,Memory: 10,Nets: 6,Linpack: 10,Peak: 10,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
161,ИВМиМГ СО РАН,2013,Cpu: 3,Cores: 4,Nodes: 2,Memory: 2,Nets: 5,Linpack: 4,Peak: 3,GRPperCapita: 7,Num of Systems: 2,Q1: 9,Q2: 10,Q3: 9,Q4: 9,Top10: 8
162,ИДСТУ СО РАН,2013,Cpu: 7,Cores: 5,Nodes: 7,Memory: 4,Nets: 10,Linpack: 6,Peak: 7,GRPperCapita: 6,Num of Systems: 10,Q1: 10,Q2: 9,Q3: 10,Q4: 10,Top10: 9
163,ИММ УРО РАН,2013,Cpu: 9,Cores: 2,Nodes: 9,Memory: 7,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 4,Num of Systems: 9,Q1: 9,Q2: 8,Q3: 6,Q4: 8,Top10: 10
164,ИПМ им. М.В.Келдыша РАН,2013,Cpu: 8,Cores: 6,Nodes: 8,Memory: 6,Nets: 2,Linpack: 6,Peak: 4,GRPperCapita: 2,Num of Systems: 9,Q1: 7,Q2: 6,Q3: 6,Q4: 7,Top10: 7
165,Курчатовский институт,2013,Cpu: 1,Cores: 2,Nodes: 2,Memory: 5,Nets: 2,Linpack: 2,Peak: 2,GRPperCapita: 1,Num of Systems: 1,Q1: 3,Q2: 3,Q3: 4,Q4: 4,Top10: 3
166,МГУ,2013,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 3,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
167,МФТИ,2013,Cpu: 6,Cores: 4,Nodes: 5,Memory: 1,Nets: 9,Linpack: 3,Peak: 5,GRPperCapita: 5,Num of Systems: 8,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
168,НГУ,2013,Cpu: 4,Cores: 7,Nodes: 4,Memory: 4,Nets: 9,Linpack: 8,Peak: 7,GRPperCapita: 7,Num of Systems: 7,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 1
169,ННГУ,2013,Cpu: 9,Cores: 6,Nodes: 9,Memory: 9,Nets: 8,Linpack: 4,Peak: 4,GRPperCapita: 9,Num of Systems: 7,Q1: 4,Q2: 4,Q3: 4,Q4: 3,Top10: 4
170,ПГНИУ,2013,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 1,Linpack: 10,Peak: 9,GRPperCapita: 6,Num of Systems: 6,Q1: 6,Q2: 6,Q3: 7,Q4: 6,Top10: 6
171,СВФУ,2013,Cpu: 7,Cores: 9,Nodes: 6,Memory: 3,Nets: 7,Linpack: 7,Peak: 9,GRPperCapita: 2,Num of Systems: 6,Q1: 8,Q2: 7,Q3: 9,Q4: 9,Top10: 7
172,СПбГУ,2013,Cpu: 10,Cores: 10,Nodes: 10,Memory: 9,Nets: 7,Linpack: 7,Peak: 6,GRPperCapita: 3,Num of Systems: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
173,ТГУ,2013,Cpu: 2,Cores: 3,Nodes: 1,Memory: 2,Nets: 6,Linpack: 5,Peak: 6,GRPperCapita: 4,Num of Systems: 4,Q1: 4,Q2: 5,Q3: 3,Q4: 5,Top10: 4
