N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
16,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
17,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
19,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
18,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
20,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
21,Новосибирск ССКЦ ИВМиМГ СО РАН 2011 г.,80/2400,узлов: 40 (2xXeon X5670 [Acc: 3xTesla M2090] 3.07 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,38.21 85.69,"Hewlett-Packard, Нонолет"
22,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
23,Москва Classified 2010 г.,1624/6496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,37.50 65.74,IBM
24,Нижний Новгород ОАО ЦНИИ Буревестник 2012 г.,512/3520,узлов: 240 (2xXeon 5675 3.06 GHz 48 GB RAM) узлов: 16 (2xXeon L5630 [Acc: 2x Tesla X2070] 2.13 GHz 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,36.88 57.62,Т-Платформы
25,Москва IT-Services 2010 г.,1586/6344,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,36.62 64.20,IBM
26,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
27,"Москва ФГБУ ""ГВЦ Росгидромета"" 2012 г.",192/1536,узлов: 96 (2xXeon E5-2690 2.9 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,32.09 35.64,Группа компаний РСК
28,Москва Государственный сектор 2010 г.,1374/5496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,31.72 55.62,IBM
29,Москва Service Provider 2013 г.,240/5520,узлов: 60 (2xXeon E5-2660 [Acc: 2x Tesla M2090] 2.2 GHz 65.536 GB RAM) узлов: 60 (2xXeon E5-2660 [Acc: 2x Tesla M2070Q] 2.2 GHz 65.536 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,31.48 157.39,Hewlett Packard
30,Москва Государственный сектор 2010 г.,1216/4864,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.00 49.22,IBM
31,Москва Schlumberger Moscow Research 2013 г.,16/2144,узлов: 8 (2xXeon E5-2630 [Acc: 3x Tesla K20X] 2.3 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,26.76 33.45,Hewlett Packard
32,Москва Государственный сектор 2010 г.,1096/4384,узлы: (Xeon X5550 2.666 GHz) сеть: Gigabit Ethernet,26.70 46.75,IBM
33,Иркутск ИДСТУ СО РАН 2012 г.,220/3520,узлов: 110 (2xOpteron 6276 2.3 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,25.12 33.70,Т-Платформы
34,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
35,Москва Факультет Вычислительной математики и кибернетики МГУ имени М.В.Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.86 27.85,IBM
36,"Новосибирск ССКЦ ИВМиМГ, ИЦиГ СО РАН 2009 г.",576/2688,узлов: 64 (2xXeon E5450 3 GHz 16.384 GB RAM) узлов: 128 (2xXeon E5540 2.53 GHz 16.384 GB RAM) узлов: 96 (2xXeon X5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,21.92 30.01,"Hewlett-Packard, Нонолет"
37,Якутск Центр прикладных вычислительных технологий Северо-Восточный федеральный университет имени М.К.Аммосова 2011 г.,320/1920,узлов: 160 (2xXeon X5675 3.06 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,20.21 23.50,"Hewlett-Packard, INLINE Group"
38,Белгород НИУ БелГУ 2012 г.,40/980,узлов: 40 (2xXeon E2665 [Acc: 2x Tesla M2090] 2.4 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,19.47 32.74,Т-Платформы
39,Санкт-Петербург Ресурсный центр Вычислительный центр СПбГУ ФГБОУ ВПО Санкт-Петербургский государственный университет 2011 г.,48/1536,узлов: 24 (2xXeon X5675 [Acc: 3xTesla M2070] 3.06 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,17.66 40.14,Hewlett Packard
40,Санкт-Петербург Отделение гидродинамики ФГУП ЦНИИ Крылова 2011 г.,200/2400,узлов: 100 (2xOpteron 6174 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,17.38 21.12,Т-Платформы
41,Новосибирск Информационно-вычислительный центр Новосибирский государственный университет 2008 г.,524/2512,узлов: 64 (2xXeon 5355 2.66 GHz 16.051 GB RAM) узлов: 96 (2xXeon E5540 2.53 GHz 16.041 GB RAM) узлов: 1 (4xXeon 7350 2.933 GHz 128.944 GB RAM) узлов: 1 (8xXeon X7560 2.266 GHz 2097.152 GB RAM) узлов: 96 (2xXeon X5670 2.932 GHz 24.105 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,17.32 27.52,"Hewlett Packard, Нонолет"
42,Нижний Новгород 2012 г.,124/992,узлов: 62 (2xXeon E5-2680 2.7 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,17.31 21.43,IBM
43,Москва Государственный сектор 2010 г.,582/2328,узлов: 112 (2xXeon X5570 2.93 GHz 24 GB RAM) узлов: 179 (2xXeon X5460 3.16 GHz 24 GB RAM) сеть: 10 Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,17.09 28.60,IBM
44,Пермь Промышленность 2012 г.,172/1400,узлов: 42 (2xOpteron 2435 2.6 GHz 32 GB RAM) узлов: 44 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 4 (2xXeon E5-2680 [Acc: 2x Tesla M2090] 2.7 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,16.59 27.03,IBM
45,Уфа Уфимский государственный авиационный технический университет 2012 г.,550/2268,узлов: 232 (2xXeon E5345 2.33 GHz 8.192 GB RAM) узлов: 4 (2xXeon E5345 2.33 GHz 16.384 GB RAM) узлов: 30 (2xXeon E5345 2.33 GHz 32.768 GB RAM) узлов: 1 (2xXeon X5670 [Acc: 2x Tesla M2050] 2.93 GHz 49.152 GB RAM) узлов: 8 (2xXeon E5-2670 2.6 GHz 131.072 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 23.67,IBM
46,Москва Государственный сектор 2012 г.,50/880,узлов: 10 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 15 (2xXeon E5-2660 [Acc: 2x Tesla M2090] 2.2 GHz 128 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,14.68 27.50,Т-Платформы
47,Таганрог РОЦ НИТ Таганрогский Технологический Институт Южного Федерального Университета 2008 г.,518/2072,узлов: 128 (4xOpteron 8356 2.3 GHz 32 GB RAM) узлов: 2 (2xOpteron 2356 2.3 GHz 8 GB RAM) узлов: 1 (2xXeon E5430 2.66 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.51 18.84,Hewlett Packard / КРОК
48,"Киров ""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий"" ГОУ ВПО ""Вятский государственный университет"" 2008 г.",480/1920,узлов: 240 (2xXeon 5345 2.33 GHz 4.096 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,13.96 17.89,Hewlett-Packard
49,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
50,"Пермь Научно-образовательный центр ""Параллельные и распределённые вычисления"" Пермский государственный национальный исследовательский университет 2012 г.",16/752,узлов: 8 (2xXeon E5-2680 [Acc: Tesla K20] 2.7 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/IPMI,13.53 21.48,"IBM, ООО ""Технический центр ""ГАРМОНИЯ"""
