,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ВятГУ,2012,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,157541.4,1
1,ИВМиМГ СО РАН,2012,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,539740.8,1
2,ИДСТУ СО РАН,2012,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,304545.5,1
3,ИММ УРО РАН,2012,476.0,5544.0,238.0,6464.0,20.0,75.2,160.0,344382.7,1
4,ИПМ им. М.В.Келдыша РАН,2012,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,895017.9,1
5,Курчатовский институт,2012,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,2685053.7,1
6,МГУ,2012,15752.0,96524.0,6848.0,98616.288,32.5,985.0600000000001,1814.82,3580071.6,1
7,МФТИ,2012,224.0,1792.0,112.0,7340.032,10.0,36.28,41.57,336650.6,1
8,НГУ,2012,548.0,3232.0,270.0,8461.06,20.0,29.23,51.46,539740.8,1
9,ННГУ,2012,120.0,3040.0,60.0,3932.1600000000003,10.0,51.86,103.31,255722.7,1
10,СВФУ,2012,346.0,2622.0,173.0,8491.985999999999,20.0,31.33,46.019999999999996,1132774.0,1
11,СПбГУ,2012,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,456943.4,1
12,СФУ,2012,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,416272.7,1
13,ТГУ,2012,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,350116.9,1
14,УГАТУ,2012,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,282918.4,1
15,ФГУП ЦНИИ Крылова,2012,200.0,2400.0,100.0,6553.6,10.0,17.38,21.12,456943.4,1
16,ЮУрГУ,2012,1804.0,10160.0,166.0,1359.872,62.5,112.71,133.58,483516.0,1
17,ЮФУ,2012,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,198129.2,1
